hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
14561,Appart Mons City Concept - Terrasse & Grand-Place,"The apartment has a wonderful balcony and a large living room. Great for business travelers or a couple on holiday. Close to the city center, with plenty of cafes and shops within 5 minutes walking.",,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14511,Appart Mons City Concept - Terrasse & Grand-Place,"Spotless, comfortable, perfect location and very friendly hosts. I highly recommend this place. ",,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14475,Appart Mons City Concept - Terrasse & Grand-Place,The apartment is true to the pictures. Very conveniently located.,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14545,Appart Mons City Concept - Terrasse & Grand-Place,Everything were perfect  There was everything we were looking for at home. I would definitely recommend,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14529,Appart Mons City Concept - Terrasse & Grand-Place,"Everything, from check in to check out and all of the bits in between. It was beautiful weather so made use of the terrace. ",Nothing,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14493,Appart Mons City Concept - Terrasse & Grand-Place,"Fantastic location and stylish interior matched by high level of comfort. 
",Nothing negative,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14458,Appart Mons City Concept - Terrasse & Grand-Place,"Great appartment in the city center. Well renovated, beautifull terrace with the sun at the end of the day. 
Even Dutch TV with all the biggest movie channels.
Lovend it!!",N/a,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
