hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
18806,Race & Rooms,,I did not like the fact that there is no reception .,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18824,Race & Rooms,"Excellent in check which was late evening. Very clean and tidy. Loads of room, with comfortable beds and good bathroom. ",,9.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18860,Race & Rooms,Very nice people who run the rooms and the hotel. Special thanks for the guy making the Pizza's in a traditional oven.,,8.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18989,Race & Rooms,the location is okay,extremely rude staff,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18959,Race & Rooms,Alain the host was very accommodating and flexible. Nice restaurant bellow the hotel and really close to the track,Nothing. All good it says what it does on the tin. It's a nice room close to the track,9.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18927,Race & Rooms,Perfect location directly to the racing circuit,,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18757,Race & Rooms,Nice place to stay while you expend the day out,,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
