hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
7557,Hostel Bruegel,It was really quiet and comfy I couldn't have choose a better place to stay,,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5097,Hostel Bruegel,"Central position, good price, helpful stuff",A bit dirty,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5188,Hostel Bruegel,my room was bright and clean,i would have enjoyed a television,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7764,Hostel Bruegel,"Smart breakfast, clean and comfortable room. Nice location. Great personals.",Nothing,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6443,Hostel Bruegel,location is great .,not that much clean.,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6582,Hostel Bruegel,"I liked the en suite shower. Good breakfast, nice variety.",,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8217,Hostel Bruegel,Stayed for one night. The hostel is much better in person than on the pictures here. The rooms and the shared areas were spic and span. It's also an easy walk from Brussels Central and Grand Palace.,The timed lights in the bathroom and shower.,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
