hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
19576,Citadines Sainte Catherine Brussels,Location location location,Veeeery expensive.,7.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18908,Citadines Sainte Catherine Brussels,"Citadines was a great location just near the St Catherine train station, with only a few stops to the major international and central stations. Cooking facilities were good and there were a handful of reasonable ""supermarkets"" nearby. Staff were really friendly and helpful. One of our favourite places. 
",,9.2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20508,Citadines Sainte Catherine Brussels,"In the city centre, close to everywhere. Really clean, free tea and coffee in reception staff were excellent really helpful especially Sebastian when checking us in - gave lots of recommendations and help.",,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19107,Citadines Sainte Catherine Brussels,Very convenient to city center,No air conditioning and the fan was quite noisy so hard to sleep at night..otherwise it was great,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18548,Citadines Sainte Catherine Brussels,Location is excellent. Staff very nice. Good kitchen in the room and comfortable room. I would stay there again.,I didn't realise that the price would be with breakfast NOT included. And to ad a 15 euro breakfast is too much. Cleaning is only once a week. For extra cleaning there is a charge.,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18940,Citadines Sainte Catherine Brussels,"establishment, studio, location, staff, etc.",Have nothing negative to say.,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18687,Citadines Sainte Catherine Brussels,"I asked for a quiet room and got a room facing the courtyard, away from the lift. I could sleep without problem. Thank you! The metro station is only 40-50 metres or so away. Free tea and coffee is available in the lobby.",,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
