hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
19246,Hotel Old Tom,Nice view of the square Good service when checking in,Bad drain smell from bathroom Very thin walls and windows. Noisy.  Lumpy pillows,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19274,Hotel Old Tom,,"Great place to stay - excellent people - close to menin gate
",8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19532,Hotel Old Tom,Staff were friendly.,"Everything else was pretty grim - dark, tatty room - smelly, worn staircase - no mirror in the bedroom - and no wifi! The room was expensive considering the poor decor and level of comfort and facilities. The breakfast was expensive and very limited.",4.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19378,Hotel Old Tom,,The bloody noise from outside as they started building show stands at 2am and never stopped,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19617,Hotel Old Tom,"The staff were very helpful and pleasant.  The location was excellent, right on the main square in the town.   There was parking available in the square outside the hotel (paid separately but not expensive)","The hotel is just very old and run down.  Tiny room, third floor up rickety stairs, couldn't get the tiny TV to work. Bathroom ok, but tiny. Pillows dreadful. There was a sort of window, but just looked on to buildings. This is a very budget and basic OLD place.",5.4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
19261,Hotel Old Tom,"Great location, lovely patio and the staff were really great. I was travelling with my 14 daughter and the staff we're very polite and approachable.  Morning breakfast on the square was the best!","Everything met expectations.  It isn't 300-400 Euros per night, so if you book set your expectations accordingly.  Request a lower floor if you have trouble with stairs.",7.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19735,Hotel Old Tom,,No light in room plug sockets did not work,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
