hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
14814,Hotel Gasthof 't Zweerd,Friendliness and helpfulness of staff. Hotel location was superb for my needs. Breakfast sufficient for my needs. Enjoyed dinner on two evenings.,"For the price, nothing.",9.2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14933,Hotel Gasthof 't Zweerd,"Location was excellent for Menin Gate and the centre of Ypres. 
Restaurant and breakfast were very good ",The room was a little tired and could do with a spruce up,7.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15816,Hotel Gasthof 't Zweerd,Excellent location. Good public parking available close at hand and at reasonable cost. Good breakfast.,Ensuite facilities very cramped. Decoration was very tired.,6.7,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
15204,Hotel Gasthof 't Zweerd,Very easy to book in and book out.  Great food and friendly staff.  Top location in the centre of Ypres.,,9.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16021,Hotel Gasthof 't Zweerd,Great position. Comfortable bed.,Tiny bathroom with poor ventilation.  Interiors need overhaul. Very basic. A lick of paint does not do the job.,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15658,Hotel Gasthof 't Zweerd,On the main square close to the Menin Gate and Museums,"Seemed that the restaurant was much more important than the Hotel to the owners. No one about at breakfast time but food was ok, all self service.",7.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
15758,Hotel Gasthof 't Zweerd,"Location & Breakfast, we spent little time in the hotel and ate out.","The room was adequate and clean but very compact, anything carried out in the bathroom needed careful planning, except a face wash and teeth cleaning! A 3 night stay became a bit waring.",7.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
