hotel number,hotel name,pos review,neg review,hotel rate,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
4682,Hotel Boterhuis,"Location, decor, friendly, room amazing, great breakfast. Would definitely stay here again. ",Smoking in courtyard smells went through to breakfast room,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4702,Hotel Boterhuis,Lovely old fashioned style of the room,Dusty air in the bedroom,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3547,Hotel Boterhuis,"The location was very close to the city center. The hotel breakfast was excellent. The room was clean and met all expectations. Staff was very pleasant and helped with directions, restaurant recommendations, etc.",,9.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3490,Hotel Boterhuis,Staff were very pleasant and helpful.  Location couldn't be better. We had a very enjoyable stay and would recommend this hotel to anyone.,,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3761,Hotel Boterhuis,Choice of continental breakfast or eggs. All nice and fresh,The breakfast room is a little cramped,8.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3572,Hotel Boterhuis,"Great location, great breakfast, great ac!!!!",Dark windy stairs at night.,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2752,Hotel Boterhuis,loved the location and room and very friendly staff.,,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
