,user_id,strategy_id,gameId,roundNum,hotelId,reviewId,hotelScore,didGo,didWin,correctAnswers,reaction_time,user_points,bot_points,last_didGo_True,last_last_didGo_True,last_didGo_False,last_last_didGo_False,last_didWin_True,last_last_didWin_True,last_didWin_False,last_last_didWin_False,last_reaction_time,Staff (Pos),Facilities (Pos),Cleanliness (Pos),Location (Pos),Food (Pos),Staff (Neg),Facilities (Neg),Cleanliness (Neg),Location (Neg),Food (Neg)
0,0,132,0,1,83,16154,9.157142857142857,True,True,1,20667,0,0,False,False,False,False,False,False,False,False,-1,0,0,1,1,0,0,0,0,0,0
1,4,17,55,10,83,16154,9.157143,True,True,7,237,6,7,True,True,False,False,True,True,False,False,128,0,0,1,1,0,0,0,0,0,0
2,7,132,10,10,83,16154,9.157142857142857,True,True,10,4414,9,4,True,True,False,False,True,True,False,False,5682,0,0,1,1,0,0,0,0,0,0
3,9,23,1,1,83,16154,9.157143,True,True,1,13411,0,0,False,False,False,False,False,False,False,False,-1,0,0,1,1,0,0,0,0,0,0
4,13,23,13,10,83,16154,9.157143,False,False,3,176,3,1,False,False,True,True,False,False,True,True,161,0,0,1,1,0,0,0,0,0,0
5,17,17,95,8,83,16154,9.157143,False,False,5,218,5,5,True,False,False,True,False,True,True,False,209,0,0,1,1,0,0,0,0,0,0
6,18,17,18,7,83,16154,9.157142857142857,True,True,3,175,2,5,True,True,False,False,False,False,True,True,394,0,0,1,1,0,0,0,0,0,0
7,23,23,16,7,83,16154,9.157142857142857,True,True,4,4972,3,5,True,False,False,True,True,True,False,False,6352,0,0,1,1,0,0,0,0,0,0
8,25,23,59,4,83,16154,9.157142857142857,True,True,3,186,2,3,True,True,False,False,True,False,False,True,151,0,0,1,1,0,0,0,0,0,0
9,32,23,44,7,83,16154,9.157143,True,True,5,149,4,4,True,True,False,False,True,True,False,False,159,0,0,1,1,0,0,0,0,0,0
10,34,43,81,4,83,16154,9.157143,False,False,1,1544,1,1,True,False,False,True,False,False,True,True,1807,0,0,1,1,0,0,0,0,0,0
11,34,23,104,1,83,16154,9.157143,True,True,1,1822,0,0,False,False,False,False,False,False,False,False,-1,0,0,1,1,0,0,0,0,0,0
12,0,132,0,2,568,5683,8.114285714285714,True,True,2,5227,1,1,True,False,False,False,True,False,False,False,20667,1,0,0,1,0,0,1,0,1,0
13,1,132,29,5,568,5683,8.114285714285714,False,False,4,1352,4,1,False,False,True,True,True,True,False,False,3872,1,0,0,1,0,0,1,0,1,0
14,4,132,1,1,568,5683,8.114285,False,False,0,12031,0,0,False,False,False,False,False,False,False,False,-1,1,0,0,1,0,0,1,0,1,0
15,9,17,40,7,568,5683,8.114285,False,False,3,230,3,4,True,False,False,True,False,True,True,False,267,1,0,0,1,0,0,1,0,1,0
16,17,132,6,10,568,5683,8.114285,True,True,9,9681,8,6,True,True,False,False,False,True,True,False,13824,1,0,0,1,0,0,1,0,1,0
17,20,17,19,3,568,5683,8.114285714285714,False,False,2,7029,2,2,True,True,False,False,True,True,False,False,4604,1,0,0,1,0,0,1,0,1,0
18,25,107,92,1,568,5683,8.114285714285714,True,True,1,119,0,0,False,False,False,False,False,False,False,False,-1,1,0,0,1,0,0,1,0,1,0
19,26,23,4,1,568,5683,8.114285714285714,False,False,0,9346,0,0,False,False,False,False,False,False,False,False,-1,1,0,0,1,0,0,1,0,1,0
20,27,132,0,6,568,5683,8.114285714285714,False,False,4,1165,4,5,True,True,False,False,True,False,False,True,2511,1,0,0,1,0,0,1,0,1,0
21,32,23,40,9,568,5683,8.114285,False,False,5,178,5,5,True,False,False,True,True,True,False,False,150,1,0,0,1,0,0,1,0,1,0
22,34,23,67,5,568,5683,8.114285,False,False,3,3984,3,3,True,True,False,False,True,False,False,True,5344,1,0,0,1,0,0,1,0,1,0
23,34,23,130,4,568,5683,8.114285,True,True,3,2597,2,3,True,True,False,False,True,False,False,True,1265,1,0,0,1,0,0,1,0,1,0
24,0,132,0,3,128,2591,10.0,True,True,3,23809,2,2,True,True,False,False,True,True,False,False,5227,0,1,1,1,0,0,1,1,1,0
25,4,23,31,5,128,2591,10.0,True,True,4,21546,3,4,True,True,False,False,True,False,False,True,5408,0,1,1,1,0,0,1,1,1,0
