config_features,config_input_dim,config_REVIEW_DIM,config_architecture,config_FEATURES_PATH,config_ENV_LEARNING_RATE,config_offline_train_test_datasets,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch10,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch16,ENV_Test_accuracy_per_mean_user_and_bot_epoch12,ENV_Test_accuracy_per_mean_user_and_bot_epoch8,ENV_Test_accuracy_per_mean_user_and_bot_epoch9,ENV_Test_accuracy_per_mean_user_and_bot_epoch23,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch7,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch14,ENV_Test_accuracy_per_mean_user_and_bot_epoch11,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch17,ENV_Test_accuracy_per_mean_user_and_bot_epoch10,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch21,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch20,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch9,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch11,ENV_Test_accuracy_per_mean_user_and_bot_epoch17,ENV_Test_accuracy_per_mean_user_and_bot_epoch5,ENV_Test_accuracy_per_mean_user_and_bot_epoch15,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch18,ENV_Test_accuracy_per_mean_user_and_bot_epoch0,ENV_Test_accuracy_per_mean_user_and_bot_epoch1,ENV_Test_accuracy_per_mean_user_and_bot_epoch18,ENV_Test_accuracy_per_mean_user_and_bot_epoch24,ENV_Test_accuracy_per_mean_user_and_bot,ENV_Test_accuracy_per_mean_user_and_bot_epoch21,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch2,ENV_Test_accuracy_per_mean_user_and_bot_epoch3,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch24,ENV_Test_accuracy_per_mean_user_and_bot_epoch4,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch0,ENV_Test_accuracy_per_mean_user_and_bot_epoch19,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch23,ENV_Test_accuracy_per_mean_user_and_bot_epoch13,ENV_Test_accuracy_per_mean_user_and_bot_epoch16,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch6,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch13,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch1,ENV_Test_accuracy_per_mean_user_and_bot_epoch22,ENV_Test_proba_accuracy_per_mean_user_and_bot,ENV_Test_accuracy_per_mean_user_and_bot_epoch7,ENV_Test_accuracy_per_mean_user_and_bot_epoch14,ENV_Test_accuracy_per_mean_user_and_bot_epoch6,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch22,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch3,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch5,ENV_Test_accuracy_per_mean_user_and_bot_epoch20,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch19,ENV_Test_accuracy_per_mean_user_and_bot_epoch2,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch4,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch12,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch15,ENV_Test_proba_accuracy_per_mean_user_and_bot_epoch8
EFs,60,37,CNN,data/EFs_by_GPT35.csv,0.001,key_word_tagging,0.7677266595092701,0.7643367147076148,0.8090035640673356,0.815465845710846,0.8103139612394845,0.7852102132232914,0.7591039444409363,0.764768500656202,0.8098237595584878,0.7727754175577213,0.8133744952022739,0.7695787789550731,0.7715223122627995,0.7511061839266188,0.7566517178649225,0.8039493927147392,0.8198648047349368,0.8002591246242473,0.7653322674459316,0.8156617877883137,0.8207062488635573,0.8030390484785712,0.7895443531533887,0.7895443531533887,0.7963828741406517,0.7428968784958822,0.8180080194744627,0.7694885331139232,0.820497636978719,0.7340642963395761,0.7912726869492527,0.7615472040302725,0.8054978083937792,0.7993569108607536,0.7584041800572798,0.7566851862116808,0.7310345911596289,0.7875539670986846,0.7694885331139232,0.817545269984805,0.8051748387194807,0.8181486800646712,0.7590713816539283,0.7391328243070839,0.7598428606801021,0.7978018985850953,0.7559286630549902,0.8201740431481482,0.7517359772658324,0.7638953255219051,0.760246417550905,0.7571647125193958
EFs,60,37,CNN,data/EFs_by_GPT35.csv,0.001,original_data,0.7514930137525591,0.7494722061423715,0.7985204880415592,0.8129149039272832,0.8079995813226977,0.7833684515321525,0.761554911697734,0.747075002067478,0.8041416950474554,0.7545809083983459,0.8059567641507266,0.7656584089547843,0.7551048384624071,0.7579144815765324,0.75957962516493,0.7911296018398198,0.8210590680543634,0.7884332754367577,0.762875740543461,0.8070623089938325,0.8191882168077468,0.7919782790626735,0.7803049776173228,0.7803049776173228,0.7871343579390571,0.7484584145028675,0.8186567338530114,0.7551530273363624,0.8186208454014477,0.7359476738234865,0.7870024168919599,0.7556012551119019,0.7977558014339715,0.7874694881884636,0.7600553277634439,0.7519197632259582,0.7410234009601823,0.7786059719066016,0.7551530273363624,0.8136448000969568,0.7871831179917723,0.8130178694894399,0.7515433044359018,0.7616751780085941,0.7587068769161068,0.780255474460224,0.7540778609127049,0.8210390005313359,0.7535349601196473,0.7505294187357304,0.7548014861020569,0.7632560352569338
EFs,60,37,CNN,data/EFs_by_GPT35.csv,0.003,key_word_tagging,0.7660193650664499,0.7606587673586043,0.8154323397866601,0.8170333177532371,0.8188219689221659,0.8028479610238545,0.7564811261423556,0.761892949764979,0.8152774606214401,0.7632468185137609,0.8154661872652118,0.7634738610616918,0.7633774614880158,0.7512457507044482,0.7530141795696622,0.8088663625072714,0.814855703618121,0.8139671635643987,0.7666054682044176,0.8135157337950675,0.820521893887974,0.8124370186114567,0.7976457289406315,0.7976457289406315,0.8136097052554324,0.7468183581468758,0.812452126220677,0.7527908691519614,0.8156401325105747,0.7378984292983762,0.8089010002826862,0.7646921323409185,0.8152019172817284,0.8094737960793168,0.7593042722616636,0.7425875976814812,0.7256411545973168,0.8025659269451797,0.7527908691519614,0.8175636286491527,0.8132956279520301,0.8160145399791428,0.769156637588909,0.7459504527929136,0.7565813983081517,0.8086230611026755,0.7513686194985052,0.8175312999697794,0.7437280625294396,0.7656252068881111,0.7526008115252911,0.7538021499568808
EFs,60,37,CNN,data/EFs_by_GPT35.csv,0.003,original_data,0.7567008319680323,0.7503396995128135,0.8131106884686623,0.8133505689526055,0.8174890111400996,0.8112704713987244,0.7506003645456989,0.7538469269490893,0.8145567542207324,0.7466598011281873,0.8167260354936937,0.751722186421494,0.7556944192496582,0.752979284522618,0.7544658103511392,0.8118425689905104,0.819623483696654,0.8152133055036896,0.7559095801594642,0.8071695686001978,0.8167064317732257,0.8110377308640568,0.8062182238313969,0.8062182238313969,0.8097083558221224,0.7482938350888555,0.8158281362807177,0.7572898790474921,0.8191393392895296,0.7406392721247502,0.8111165841816008,0.7571391184959918,0.8122660668985856,0.8140046265379511,0.7612989863219004,0.7503154142331698,0.7523826275115428,0.8076488585443151,0.7572898790474921,0.8209356771867156,0.8127550519914089,0.8197495214316681,0.7490672382453678,0.7461976978746026,0.753461292282702,0.8091164189122719,0.7524368026928077,0.8160190436205464,0.7523766716156433,0.7427913394449107,0.7620926072814298,0.7568561668541489
EFs,60,37,LSTM,data/EFs_by_GPT35.csv,0.001,key_word_tagging,0.7707437704610142,0.7667401845220597,0.8284547686386613,0.8284707078270612,0.8252183923328537,0.8255612133419804,0.769824162956259,0.7702645383772785,0.8274897921461037,0.7762115545886552,0.8262482713503952,0.7771655064522122,0.774664855969701,0.7551730899354738,0.767991792697227,0.8270460812103101,0.8249676909753629,0.8269572378772521,0.7762924417325997,0.8194193363308635,0.8233215361218627,0.8281169749879623,0.8259699249046351,0.8259699249046351,0.8301522311445452,0.7506172843620225,0.8256729105182503,0.7691163772236115,0.8264055263986065,0.7536515044147137,0.8286265457711479,0.7748773255733072,0.8277365030407591,0.8311870618607724,0.7652424693466642,0.7595118012977975,0.7491161498563851,0.8279683950631991,0.7691163772236115,0.8292332111187964,0.8251167947313934,0.826795350591105,0.7708110767963631,0.7542039997185624,0.7646080197346897,0.8292573118673195,0.7649326927158504,0.8240954298695788,0.7554787530222336,0.7763168875801528,0.7715909742757893,0.7664328357744048
EFs,60,37,LSTM,data/EFs_by_GPT35.csv,0.001,original_data,0.7688873996134697,0.7664869383503834,0.8284971072205025,0.8287470165082313,0.8282243534768609,0.8217418131964946,0.765150360050725,0.7625809435112288,0.8294072932375129,0.7634549984172967,0.8302044892953324,0.7763784619151106,0.76902215273203,0.7658613833229613,0.7692252000042049,0.8276750524774577,0.8279572148945072,0.8270887643738978,0.7695534764185021,0.8170819733704955,0.8213565658773332,0.8258260008297212,0.8198628075415435,0.8198628075415435,0.8271412208394004,0.7512581711231323,0.824582617676521,0.7708241400555875,0.8289873722105299,0.7476060187671875,0.8263640592473386,0.7703804873668562,0.8307689783173531,0.8285771783344628,0.7667021306580114,0.7669190328748068,0.7517834926195315,0.8250234971307504,0.7708241400555875,0.827717752720645,0.8272418194754552,0.8264398241817688,0.7690363633000009,0.7664023284596164,0.762300336664252,0.8260296736520858,0.7684192812148376,0.8244813465963021,0.7626966818697334,0.7638594971704271,0.7745170389822045,0.7670021959643747
EFs,60,37,LSTM,data/EFs_by_GPT35.csv,0.003,key_word_tagging,0.7634899029458033,0.7586076984763227,0.8265795886740821,0.8265146711877637,0.8272715042306668,0.8209722669373689,0.763765442516708,0.7591771955655621,0.8281018707545272,0.7690581633537377,0.8230433252146373,0.7683000723432775,0.7685161231191454,0.7488858894578059,0.7611072305413786,0.8287414812726445,0.8291657386095442,0.823152247438885,0.7694738638376842,0.8141250141262958,0.8237747438227553,0.8265816763171328,0.8238843764727695,0.8238843764727695,0.8267349151575997,0.7455208180364428,0.8239549199464082,0.761160421548904,0.8240237717849457,0.741866138630546,0.8209837398583372,0.7652628127112013,0.8241479060825896,0.8269947048803975,0.7666387471363656,0.756689090133875,0.7364225774821166,0.8204025733339146,0.761160421548904,0.8234419761744605,0.8250643794950282,0.8282377999500843,0.7684966370090421,0.7539989069245865,0.7653473403989085,0.8265093865907109,0.7586074868486371,0.8255139481912398,0.7552819187428034,0.773259112227152,0.7646026911956247,0.767413498918916
EFs,60,37,LSTM,data/EFs_by_GPT35.csv,0.003,original_data,0.7666444515115238,0.7698975252162379,0.8282718093895465,0.8257747689275163,0.8280342446196115,0.8240289411491977,0.7650334738635364,0.7609204467351636,0.828342024442893,0.7603252583664627,0.8283151522056806,0.7673717138789217,0.761811930241654,0.7586185701387538,0.7665884790579967,0.8273940387508358,0.826177311789261,0.8278334153219733,0.7631346006694093,0.8176331186896582,0.823271634852001,0.8265689512668096,0.8256994257037715,0.8256994257037715,0.8249197614016326,0.7479487081974401,0.8248938560350285,0.7637133665747883,0.8277717600601586,0.7476405191891115,0.827237661993083,0.7629961823720194,0.828879547938465,0.8282594833628659,0.7664683728876396,0.7632583228107951,0.7521094529677197,0.8253632414187657,0.7637133665747883,0.8285559983816971,0.8261882498144619,0.8245425968173519,0.7618127020557128,0.7646576540750776,0.7572875237647577,0.8266859069753159,0.764437505343017,0.8262775111511673,0.7626505821926726,0.7615936464230058,0.7714877484465399,0.7693019757602375
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.001,key_word_tagging,0.765348761617923,0.7597520287411663,0.8024871808508375,0.8154681537054662,0.8104769302613497,0.7801403533045355,0.7583496414519696,0.7546966060384646,0.8079275777125003,0.7570590061818323,0.8131336625799316,0.7573756556499402,0.7528697979718614,0.758820891669209,0.7617408354430306,0.7944509298164538,0.8182736983146854,0.7971898596396145,0.7558613789146833,0.8068820171128843,0.8188935909931292,0.7886375263815879,0.7808697508794163,0.7808697508794163,0.7853007399968259,0.7530485388889052,0.819427554153671,0.7588096852049208,0.819803211352726,0.7410505636217293,0.7858228672072791,0.7578652517795892,0.8006198786181333,0.7918200945172319,0.764018833859678,0.7585807231915824,0.755737884376723,0.7834540524567353,0.7588096852049208,0.8154922913052702,0.7930037856600514,0.8174437607383329,0.7618480502371345,0.7600355767974089,0.7607357232132606,0.7800651919305235,0.7558349469636956,0.8184440716116814,0.7592463230817648,0.7569618252963786,0.7647005013030437,0.7626635237744432
EFs,70,37,CNN,data/EFs_by_GPT35.csv,0.001,original_data,0.7643341066165649,0.7648802866558408,0.8054250823772571,0.8133182680164056,0.8121124477108208,0.7863176592256915,0.7640274722175422,0.7607019429100417,0.8045499841809224,0.7633883292943211,0.8098831279243575,0.7607289620631197,0.7645052753935688,0.7624971872358971,0.7542531451980599,0.7945706642993816,0.8187174993585005,0.7995537201147978,0.7664541367849597,0.8162210041281142,0.8215167988672761,0.796035453975638,0.7794203258647976,0.7794203258647976,0.7875398000812919,0.7500102351876636,0.8193318494650661,0.7538120382672315,0.8200778620721114,0.7464844615494288,0.7928805115836074,0.7656069286615144,0.8021607713857959,0.796437135841386,0.7667252348327883,0.7584563822994133,0.7491788969085587,0.7830154779340912,0.7538120382672315,0.8160884405958102,0.8000020978479738,0.8164026032735963,0.7626238894574199,0.7525720085493666,0.7620045798074266,0.7850121902050085,0.7647697469717019,0.8201090562186701,0.7595741001072224,0.7637104285320433,0.7716531290484628,0.7623652082638951
